class,frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
Not Sleepy,23,0.186,0.670,1.137,0.354,1.158,0.283,0.956,1.836
Not Sleepy,11,0.540,0.751,0.962,0.423,1.031,0.583,0.947,1.311
Not Sleepy,15,0.177,0.761,1.197,0.477,1.146,1.182,1.384,1.753
Not Sleepy,15,0.177,0.582,1.082,0.257,0.882,0.294,0.809,1.455
Not Sleepy,21,0.174,0.515,1.432,0.136,0.617,0.302,0.907,2.673
Not Sleepy,18,0.168,0.949,1.497,0.453,1.174,0.286,1.228,1.707
Not Sleepy,23,0.947,1.006,1.087,0.394,1.013,1.825,1.926,2.114
Not Sleepy,75,0.171,1.391,3.904,0.785,5.855,0.284,0.914,2.107
Not Sleepy,23,0.185,0.823,1.386,0.354,0.903,0.281,1.250,2.123
Sleepy,20,0.728,0.880,1.203,0.238,0.615,0.581,1.044,1.521
Sleepy,14,1.042,1.213,1.383,0.073,0.291,1.453,1.931,2.409
Sleepy,14,0.537,0.734,0.875,0.349,1.110,0.839,1.248,1.456
Sleepy,14,0.698,0.779,0.825,0.372,0.866,0.573,0.576,0.580
Sleepy,22,0.192,0.389,0.952,0.237,1.171,0.282,0.392,0.628
Sleepy,12,0.183,0.512,0.836,0.167,0.577,0.289,0.587,1.178
Sleepy,15,1.179,1.282,1.386,0.379,1.131,1.132,1.477,1.822
Sleepy,11,0.831,0.949,1.068,0.147,0.309,1.266,1.336,1.405
Sleepy,12,0.565,0.686,0.857,0.251,0.878,0.577,0.684,0.886
Sleepy,13,0.197,0.651,1.174,0.341,0.940,0.312,0.815,1.567
Not Sleepy,240,0.245,0.885,5.087,0.088,0.660,0.082,0.226,2.071
Not Sleepy,266,0.262,0.709,5.915,0.058,0.533,0.083,0.185,2.305
Not Sleepy,107,0.268,0.625,2.891,0.055,0.687,0.082,0.161,0.620
Not Sleepy,60,0.269,0.484,1.970,0.034,0.377,0.082,0.143,0.387
Not Sleepy,53,0.273,1.281,3.857,0.076,0.353,0.088,0.348,1.107
Not Sleepy,154,0.247,1.240,8.486,0.184,2.902,0.083,0.251,1.980
Not Sleepy,228,0.258,1.771,7.596,0.292,1.918,0.084,0.384,1.710
Not Sleepy,59,0.276,0.794,2.589,0.054,0.393,0.088,0.271,0.851
Not Sleepy,3,0.279,0.281,0.285,0.120,0.633,0.087,0.088,0.089
Not Sleepy,162,0.259,1.977,9.641,0.433,3.049,0.083,0.337,1.167
Sleepy,40,0.950,1.313,1.795,0.278,1.207,0.863,1.127,1.457
Sleepy,115,0.306,3.286,22.660,2.426,12.491,0.279,1.740,11.519
Sleepy,120,0.303,2.183,10.185,3.564,17.351,0.273,1.510,8.238
Sleepy,118,0.629,2.117,12.721,0.887,17.642,0.561,3.057,26.790
Sleepy,50,0.621,1.235,2.549,0.267,0.842,0.591,0.976,2.325
Sleepy,42,0.940,1.335,2.000,0.276,0.899,0.574,0.980,1.730
Sleepy,79,0.314,1.816,5.643,0.685,3.546,0.279,1.150,2.889
Sleepy,90,0.284,1.637,3.683,0.524,2.527,0.284,1.017,3.078
Sleepy,30,1.613,1.819,1.968,0.288,0.868,1.429,1.711,2.007
Sleepy,63,0.317,2.188,9.290,1.965,7.313,0.311,1.373,4.966
Not Sleepy,7,0.292,0.840,1.389,0.152,0.455,0.470,1.382,2.295
Not Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Not Sleepy,6,1.593,1.593,1.593,0.481,0.962,1.900,1.900,1.900
Not Sleepy,5,0.275,0.654,1.033,0.154,0.462,0.467,0.923,1.378
Not Sleepy,5,1.224,1.224,1.224,0.229,0.457,1.850,1.850,1.850
Not Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Not Sleepy,15,0.563,0.849,1.415,0.202,0.953,0.477,1.124,1.862
Not Sleepy,44,0.285,2.942,7.597,2.296,10.068,0.468,2.178,3.272
Not Sleepy,10,2.019,2.019,2.019,0.687,1.376,3.288,3.288,3.288
Not Sleepy,17,0.286,0.890,3.011,0.075,0.452,0.449,1.478,5.519
Sleepy,2,0.508,0.508,0.508,0.000,0.000,0.919,0.919,0.919
Sleepy,24,0.248,0.795,1.852,0.629,3.288,0.473,1.232,1.902
Sleepy,5,1.072,1.072,1.072,0.000,0.000,2.352,2.352,2.352
Sleepy,7,1.705,1.705,1.705,0.463,0.935,2.336,2.336,2.336
Sleepy,21,4.360,4.360,4.360,17.475,17.475,2.321,2.321,2.321
Sleepy,4,0.256,0.511,0.767,0.784,3.135,0.472,0.709,0.946
Sleepy,37,3.139,3.467,3.795,0.465,0.930,7.448,8.923,10.398
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sleepy,26,0.241,1.106,3.079,0.563,3.229,0.469,1.677,4.160
Sleepy,55,0.237,1.064,6.704,0.692,3.209,0.448,1.775,12.609
Not Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Not Sleepy,40,0.229,0.966,2.801,0.139,0.753,0.080,0.289,0.560
Not Sleepy,17,0.246,1.240,1.796,0.096,0.401,0.088,0.333,0.669
Not Sleepy,16,0.238,1.161,3.002,0.072,0.218,0.076,0.320,0.807
Not Sleepy,23,0.231,1.007,2.419,0.088,0.267,0.071,0.301,0.723
Not Sleepy,9,1.887,1.887,1.887,0.000,0.000,0.750,0.750,0.750
Not Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Not Sleepy,12,0.232,0.461,1.320,0.018,0.076,0.072,0.129,0.359
Not Sleepy,19,0.246,1.017,3.082,0.029,0.100,0.080,0.343,1.112
Not Sleepy,3,0.236,0.242,0.246,0.000,0.000,0.075,0.078,0.080
Sleepy,62,0.181,0.888,2.339,0.238,0.827,0.156,0.660,2.102
Sleepy,42,1.060,1.335,1.689,0.296,0.928,0.602,0.999,1.532
Sleepy,10,0.330,0.728,1.126,0.247,0.803,0.148,0.317,0.487
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sleepy,15,0.852,1.003,1.155,0.309,0.782,0.447,0.538,0.630
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sleepy,11,0.169,0.320,0.831,0.070,0.306,0.163,0.214,0.463
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
